storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Hazardous",Symrise,Natural Tangerine Flavor WONF,SL13-0705-10,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,Tropical Punch Fl Nat Papaya TY,SL13-2405-5,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Symlife(R) Sweet Nat Sweetness Enhancer Fl,SL13-2803-6,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,"Natural Flavor, Masking Type",SL13-0406-9,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Nat Strawberry Kiwi Flavor WONF,10100006,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,"Nat Grapefruit Fl WONF, Ruby Red Type",SL13-2905-5,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Nat Tangerine Ginger Flavor WONF,SL13-3005-4,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Sweetness Enhancer Fl Symlife(R) Sweet Nat,SL13-0506-6,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",Symrise,Natural Grapefruit Flavor,SL13-3005-1,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Sweetness Enhancer Fl Symlife(R) Sweet Nat,SL13-2503-14,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Fl (Sweet Type) Sweetgem,1303700028,2/6/2014,2/6/2015
"Gatorade Lab, Hazardous",Firmenich,Nat Fl (Orange Key),1309F026185,9/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Symrise,Cooling Flavor Natural,SL13-0406-6,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Lime Natural Flavor,SL13-0402-8,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Natural Black Cherry Flavor WONF,10100001,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Symrise,Natural Seven Citrus Flavor,SL13-0705-11,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,Natural Cherry Flavor WONF,SL13-3005-2,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Symlife Mask(R) Nat Bitterness Masking Fl,SL13-1305-4,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Natural Blaack and Blue Berry Flavor WONF,SL13-0702-7,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Natural Blueberry Flavor WONF,SL13-1306-6,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,N&A Grape Flavor,SL13-1405-1,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Natural Mango Flavor WONF,10100002,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Natural Lemon Flavor,10100001,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Cookies & Cream Flavor Type,TRH0521M02,6/12/2013,6/12/2014
"Gatorade Lab, Hazardous",Symrise,Natural Mango Flavor WONF,SL13-0405-3,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M07,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M10,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Cookies and Cream Flavor Type,TRH0521M05,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M13,5/30/2013,5/20/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Cookies and Cream Flavor Type,TRH0521M02,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Salivation Flavor,PPLC-13-656,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Flavor Modifier Acid Blocker,PPLC-13-1185,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Flavor Blend X-Cool,248655,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural FlavorBlend X-Cool,245604,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Mikan Type,PPLC-13-1072,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Seet Sugar Type,PPLC-13-1169,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Sweet Sugar Type,PPLC-13-1169,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Grapefruit Flavor,PPLC-13-1142,7/12/2013,7/12/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Enhancing Flavor,PPLC-13-266,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates (R) Natural Flavor Modifier (Acid Blocker),PPLC-13-112,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Flavor Blend Cooling Type,PPLC-13-1184,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Intensates NaturalSalivationn Flavor,PPLC-14-029,1/21/2014,1/21/2015
"Gatorade Lab, Hazardous",Takasago,Natural Strawberry Flavor WONF,252212,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Natural Lemon Juic Flavor WONF,PPLC-13-1149,7/12/2013,7/12/2014
"Gatorade Lab, Hazardous",Takasago,Natural Noni Flavor WONF,PPLC-13-1143,7/12/2013,7/12/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Natural Rasepberry Flavor WONF Scottish Type,PPLC-13-1139,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Strawberry Flavor WONF,PPLC-13-1001,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Strawberry Kiwi Flavor WONF,PPLC-13-1002,6/10/2013,6/10/2014
"Gatorade Lab, Hazardous",Takasago,Natural Blackberry Flavor WONF,PPLC-13-025,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Golden Pineapple Falvor WONF,PPLC-13-1150,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Sweet Sugar Type,236053,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Peach Flavor WONF,PLLC-13-641,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Lemon Lime Flavor WONF Key,PLLC-13-1151,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Peach Mango Flavor WONF,PPLC-13-360,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Acai Berry Flavor WONF,PPLC-13-362,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Peach Flavor WONF,238525,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Blend,247681,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Red Plum Type,PPLC-13-668,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Symrise,Sweetness Enhancing Nat. FL,SL13-3105-2,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Orange Blood Nat. FL WONF,10100003,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Nat. Roasted Coffee FL WONF,SL13-1206-6,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Symrise,Natural Flavor Dragonfruit,SL-13-0406-5,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Natural Flavor Flavor Enhancer type,SL13-0505-11,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",Symrise,Natural Mango Flavor WONF,SL13-111305-1,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Natural Orange Tangerine Flavor WONF,10100002,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",Symrise,Nat. Citrus Ginger Flavor WONF,SL13-2905-2,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Natural Mixed Berry Grape Flavor WONF,SL13-3105-1,6/4/2013,6/4/2014
"Gatorade Lab, Hazardous",Symrise,Natural Citrus Ginger Flavor,SL13-07-5-5,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,Natural Blueberry FL WONF,SL13-1306-2,6/14/2013,6/14/2014
"Gatorade Lab, Hazardous",Symrise,Natural Cherry Flavor WONF,SL13-1305-2,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Bitter Masking NAT FLV,SL13-08-5-8,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,Nat. Seven Citrus Ginger Flavor,SL13-0705-7,5/22/2013,5/22/2014
"Gatorade Lab, Hazardous",Symrise,Natural Flavor Enhancer,SL13-0506-12,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",PepsiCo,Gala Apple Flavor,TN783889,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",PepsiCo,Gala Apple Flavor,TN783889,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",PepsiCo,Gala Apple Flavor,TN783889,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",PepsiCo,Gala Apple Flavor,TN783889,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",PepsiCo,93450-02,8/1/1389,8/14/2013,8/14/2014
"Gatorade Lab, Hazardous",PepsiCo,93450-02,4/1/1389,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",PepsiCo,93450-02,7/1/1389,7/17/2013,7/17/2014
"Gatorade Lab, Hazardous",Givaudan,Chocolate Peanut Butter Flavor,TRH0429M04,4/29/2013,4/29/2014
"Gatorade Lab, Hazardous",Firmenich,Mojito Flavor,1310.BJ67122,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Fl Orange Key,1309F026186,9/26/2013,9/26/2014
"Gatorade Lab, Hazardous",Takasago,Natural Fuji Apple Flavor WONF,NULL,5/6/2013,5/6/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Intensates Natural FujiFlavor WONF,NULL,5/6/2013,5/6/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Natural mixed Berry Flavor WONF,PPLC-13-1629,10/7/2013,10/7/2014
"Gatorade Lab, Hazardous",Takasago,Intensates Natural Flavor Blend,253947,10/23/2013,10/23/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Natural Mixed Berry Flavor WONF,PPLC-13-1629,10/23/2013,10/23/2014
"Gatorade Lab, Hazardous",Takasago,Natural Fuji Apple Flavor Conc WONF,PPLC-13-1144,7/12/2013,7/12/2014
"Gatorade Lab, Hazardous",Takasago,Natural Garden Mint Flavor WONF,PPLC-13-800,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Takasago,Natural Peppermint Flavor WONF,PLC-13-803,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Takasago,Natural Spearmint Flavor,PPLC-13-140,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Mojito Type,PPLC-13-1074,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Chai Spice Type,PPLC-13-1698,10/22/2013,10/22/2014
"Gatorade Lab, Hazardous",Firmenich,Art Taste Modulator,35731305001T,5/14/2013,5/14/2014
"Gatorade Lab, Hazardous",Kerry,Strawberry Key,TS-32421,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Chocolate dark Type Flavor,AT0425M04,4/25/2013,4/25/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Vanilla Flavor Type,42100140892,5/23/2013,5/23/2014
"Gatorade Lab, Hazardous",Givaudan,N&A French Vanilla Type Flavor,42100141009,9/18/2013,9/18/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Vanilla Flavor Type,42100141007,9/19/2013,9/19/2014
"Gatorade Lab, Hazardous",Firmenich,Art Green Tea,1305.BJ74110,5/10/2013,5/10/2014
"Gatorade Lab, Hazardous",Takasago,Natural Lemon Tea Flavor WONF,NULL,5/6/2013,5/6/2014
"Gatorade Lab, Hazardous",Pepsico,N&A Peanut Butter Chocolate Flavor,790232,7/15/2013,7/15/2014
"Gatorade Lab, Hazardous",Takasago,intensates(R) Nat Fl BL Masking Type,PPLC-13-1182,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Takasago,Natural Honey Ginseng Tea Flavor WONF,244835,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Granny Fuji Apple Flavor WONF,250100,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Guarana Flavor WONF,PPLC-13-648,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Pomegranate Flavor WONF,PPLC-13-1171,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Jostaberry Type,PPLC-13-1016,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Vivid Natural Strawberry Flavor WONF,PPLC-13-1132,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Rainforest Acai Berry Type,PPLC-13-235,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Vanilla Flavor WONF,252272,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Peach Flavor WONF,PPLC-13-1173,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Honey Green Tea,PPLC-13-1035,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Watermelon Flavor WONF,PPLC-13-1126,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Nat Flavor Red Plum Type,PPLC-13-1170,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Honey Flavor WONF,241330,7/29/2013,7/29/2014
"Gatorade Lab, Hazardous",Takasago,Natural Juicy Lemonade Flavor,PPLC-13-1147,7/16/2013,7/16/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Masking Type,243968,7/30/2013,7/30/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Cookies and Cream Flavor,TRH0429M06,4/29/2013,4/29/2014
"Gatorade Lab, Hazardous",Givaudan,Apple Flavor Key,JMT0430M01,4/30/2013,4/30/2014
"Gatorade Lab, Hazardous",Firmenich,N&A Fl Peanut Type,0513L08336,5/5/2013,5/5/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Garden Mint WONF,82423144,8/6/2013,8/6/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,SDU0618M01,6/19/2013,6/19/2014
"Gatorade Lab, Hazardous",Givaudan,Nat. Apple Flavor WONF,C3A0003517,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,SDU0613M02,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M10,6/12/2013,6/12/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M13,6/12/2013,6/12/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Peanut Butter Chocolate Flavor Type,TRH0521M07,6/12/2013,6/12/2014
"Gatorade Lab, Hazardous",Symrise,Seet Enhancer Nat Fl,SL13-3005-6,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Artifical Flacor Royal Champ Type,Sl13-1206-12,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Symrise,Natural Peach Tea Flavor WONF,SL13-1305-5,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Sweet Enhance Nat. Fl,SL13-3005-7,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Symrise,Pineapple Type Nat Fl,SL13-0506-3,6/6/2013,6/6/2014
"Gatorade Lab, Hazardous",Symrise,Natural Passionfruit Flavor WONF,SL13-0503-5,5/21/2013,5/21/2014
"Gatorade Lab, Hazardous",Symrise,Natural Strawberry Kiwi Flavor WONF,10100007,5/30/2013,5/30/2014
"Gatorade Lab, Hazardous",Kerry,Nat Lemon Iced Tea Type Fl,PS051413-4,5/14/2013,5/14/2014
"Gatorade Lab, Hazardous",Kerry,Apple 2500X Cider Type Essence,13040915A,5/3/2013,5/3/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Honey Green Tea Type,NULL,5/13/2013,5/13/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Honey Green Tea Type,NULL,6/12/2013,6/12/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Green Tea Flavor WONF,NULL,5/6/2013,5/6/2014
"Gatorade Lab, Hazardous",Takasago,Natural Lemon Tea Flavor WONF,NULL,5/6/2013,5/6/2014
"Gatorade Lab, Hazardous",Kerry,Strawberry Key,TS-32423,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Flav Mouth Watering Type,82379663,8/16/2013,8/16/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Flav Mouth Watering Type,82316124,8/16/2013,8/16/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Fl Orange Key,1307BJ822008,7/11/2013,7/11/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Cranberry Raspberry Flavor Type,42100133949,9/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Givaudan,Natural Swetness Improver Type Flavor,42100133543,6/22/2013,6/22/2014
"Gatorade Lab, Hazardous",Takasago,Natural Marion Blackberry Flavor WONF,279216,2/5/2014,2/5/2015
"Gatorade Lab, Hazardous",Takasago,Vivid Natural Fuji Apple Flavor WONF,249432,2/5/2014,2/5/2015
"Gatorade Lab, Hazardous",Takasago,Natural Peach Appricott Flavor,255589,2/5/2014,2/5/2015
"Gatorade Lab, Hazardous",Takasago,Natural Peach Flavor WONF,PPLC-13-1605,2/5/2014,2/5/2015
"Gatorade Lab, Hazardous",Takasago,Natural Juicy Pear Flavor WONF,PPLC-13-1566,2/5/2014,2/5/2015
"Gatorade Lab, Hazardous",Firmenich,Nat Strawberry Kiwi WONF,82402949,10/9/2013,10/9/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Strawberry Kiwi WONF,82402949,10/9/2013,10/9/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Strawberry Kiwi WONF,82402949,10/9/2013,10/9/2014
"Gatorade Lab, Hazardous",Kerry,Nat Fl MOD Masking FMT,NULL,8/9/2013,8/9/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Cranberry Raspberry Flavor Type,42100133922,9/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Vanilla Flavor Type,42100116458,5/23/2013,5/23/2014
"Gatorade Lab, Hazardous",PepsiCo,GNS Strawberry Flv.,30621791,8/26/2013,8/26/2014
"Gatorade Lab, Hazardous",Kerry,GNS Strawberry Flv.,305508626,8/26/2013,8/26/2014
"Gatorade Lab, Hazardous",PepsiCo,Apple Pear Flavor,9A809*01,9/19/2013,9/19/2014
"Gatorade Lab, Hazardous",PepsiCo,Blue Bolt Thailand,93901*01,4/24/2013,4/24/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Fl Orange Pekoe Type,82209670,5/28/2013,5/28/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Fl Orange Pekoe Type,82209670,5/28/2013,5/28/2014
"Gatorade Lab, Hazardous",Firmenich,Art Green Tea,1306.BJ78713,6/13/2013,6/13/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Pineapple Orange WONF,1039F027188,9/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Pineapple Orange WONF,1309F027190,9/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Firmenich,Nat Orange Fl WONF Key,54960301,1/24/2014,1/24/2015
"Gatorade Lab, Hazardous",Givaudan,N&A Orange Grapefruit Flavor,42100134891,7/1/2013,7/1/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Lemon Chai Flavor,AT0522M10,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Chai Flavor,C3A0003336,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,TasteEssentials(TM) Nat Latte Coffee Flavor WONF,C3A0002853,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Mojito Flavor,C3A0001716,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Chili Pepper Flavor,c300014679,7/25/2013,7/25/2014
"Gatorade Lab, Hazardous",Givaudan,TasteEssentials(TM) Nat Garden Mint Flavor,c3M0029572,10/21/2013,10/21/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Chocolate Peanut Butter Flavor Type,TRH0816L01,6/3/2013,6/3/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Cookies & Cream Flavor Type,SDU0913L01,6/3/2013,6/3/2014
"Gatorade Lab, Hazardous",Givaudan,N&A Chocolate (dark) Type Flavor,AT0419M02,6/3/2013,6/3/2014
"Gatorade Lab, Hazardous",Givaudan,TasteEssentials(TM) Nat Vanilla Marshmallow Flavor WONF,C3O0012898,6/3/2013,6/3/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Capsicum Flavor,c300014680,7/25/2013,7/25/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Sangrita Flavor,c300013940,7/25/2013,7/25/2014
"Gatorade Lab, Hazardous",Givaudan,Nat Lime Flavor,ed00022762,7/25/2013,7/25/2014
