storage,manufacturer,name,lot_number,manufactured_on,expired_on
"Gatorade Lab, Hazardous",PepsiCo,Passion Flavor 9B110*01,,3/21/2014,9/21/2015
"Gatorade Lab, Hazardous",Kerry,N&A Watermelon Citrus Emulsion ,,3/27/2013,9/27/2014
"Gatorade Lab, Hazardous",Takasagor,N&A Flavor Watermelon on Type Key,,2/14/2013,8/14/2014
"Gatorade Lab, Non-Hazardous",Givaudan,Nat. Lemon Flavor WONF,42100101759,2/12/2013,8/12/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat. Lime Flavor,RPN04101,4/5/2013,10/5/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pomgranate WONF,1303F00751,3/7/2013,9/7/2014
"Gatorade Lab, Hazardous",Takasago,Natural Flavor Watermelon Type Key,TAK-130573,2/14/2013,8/14/2014
"Gatoarde Lab, Hazardous",Firmenich,Lime Flavor,4913418640,1/17/2013,7/17/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Flavor (Guava Type),1303F004045,3/14/2013,9/14/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Lime Flavor,RPN03051,2/28/2013,8/28/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Tangelo WONF,N02271,2/27/2013,8/27/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pineapple WONF,10303F004047,3/4/2013,9/4/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Flavor (Guava Type),1303F004044,3/4/2013,9/4/2014
"Gatorade Lab, Hazardous",Takasago,Natural Juicy Pear Flavor Key,NA,2/8/2013,8/8/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat. Blackberry,N04021,4/2/2013,10/2/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat. Peach WONF,81985562,11/5/2012,5/5/2014
"Gatorade Lab, Non-Hazardous",Firmenich,Nat Passion Fruit WONF,819885573,10/24/2012,4/24/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pineapple WONF,1303F004046,3/4/2013,9/4/2014
"Gatorade Lab, Hazardous",Firmenich,Tangleo Flavor,4913521588,3/20/2013,9/20/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Apple WONF Green Type,81985559,12/13/2012,6/13/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pomgranate WONF,1303F007052,3/7/2013,9/7/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pomgranate WONF,8198556,1/17/2013,7/17/2014
"Gatorade Lab, Hazardous",Firmenich,Nat. Pineapple WONF,81985570,1/9/2013,7/9/2014
"Gatorade Lab, Hazardous",Takasago,Natural Key Mandarin Kumquat,TAK-130487,2/8/2013,8/8/2014
"Gatorade Lab, Hazardous",PepsiCo,Phosphoric Acid Lot #: 1389-1,,2/20/2013,8/20/2014
"Gatorade Lab, Hazardous",PepsiCo,Fierce Berry Color Component,94605*04*03A,2/5/2013,8/5/2014
"Gatorade Lab Main Inventory, Non-Hazardous",GPC,M40,M1229302,1/1/2004,1/1/2015
"Gatorade Lab Main Inventory, Non-Hazardous",Palatinase,Isomaalturlose,0637393L12993,8/1/2011,8/1/2014
"Gatorade Lab, Non-Hazardous",Givaudan,N&A Peach Flavor Type,jmt0509m02,3/12/2014,9/12/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Ginger Flavor WONF,th0329m01,3/12/2014,9/12/2015
"Gatorade Lab, Non-Hazardous",Givaudan,Nat Ginger Wash WONF,gwt0822m02,3/12/2014,9/12/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Peach Flavor 95814*04,NA,3/11/2014,9/11/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Peach Mango Flavor,NA,3/12/2014,9/12/2015
"Gatorade Lab, Non-Hazardous",PepsiCo,Peach 9B518801,NA,3/6/2014,6/6/2014
"Gatorade Lab, Non-Hazardous",PepsiCo,Orange Propel Flavor,93919*01,3/24/2013,9/24/2014
"Gatorade Lab, Non-Hazardous",PepsiCo,Cloud Component,94646*01*02A,3/24/2013,9/24/2014
"Gatorade Lab, Non-Hazardous",PepsiCo,Mandarin Flavor,93437*02,3/24/2013,9/24/2014
